a	b
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines
https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29
https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29
https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29
https://cso.kmi.open.ac.uk/topics/multi-class_classification	https://cso.kmi.open.ac.uk/topics/multiclass_classification
https://cso.kmi.open.ac.uk/topics/multiclass_classification	https://cso.kmi.open.ac.uk/topics/multi-class_classification
https://cso.kmi.open.ac.uk/topics/kernel_function	https://cso.kmi.open.ac.uk/topics/kernel_functions
https://cso.kmi.open.ac.uk/topics/kernel_functions	https://cso.kmi.open.ac.uk/topics/kernel_function
https://cso.kmi.open.ac.uk/topics/support_vector	https://cso.kmi.open.ac.uk/topics/support_vectors
https://cso.kmi.open.ac.uk/topics/support_vectors	https://cso.kmi.open.ac.uk/topics/support_vector
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/ls-svm
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/ls-svm
https://cso.kmi.open.ac.uk/topics/kernel_methods	https://cso.kmi.open.ac.uk/topics/kernel_method
https://cso.kmi.open.ac.uk/topics/kernel_method	https://cso.kmi.open.ac.uk/topics/kernel_methods
https://cso.kmi.open.ac.uk/topics/binary_classifiers	https://cso.kmi.open.ac.uk/topics/binary_classification
https://cso.kmi.open.ac.uk/topics/binary_classification	https://cso.kmi.open.ac.uk/topics/binary_classifiers
https://cso.kmi.open.ac.uk/topics/cross_validation	https://cso.kmi.open.ac.uk/topics/cross-validation
https://cso.kmi.open.ac.uk/topics/cross-validation	https://cso.kmi.open.ac.uk/topics/cross_validation
https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classification
https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classifiers
https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classifier
https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm
https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm_classifiers
https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm_classifier
https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm
https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm_classification
https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm_classifier
https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm
https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm_classification
https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm_classifiers
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/ls-svm
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine
