s	o
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/feed-forward_network	http://dbpedia.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	http://dbpedia.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feedforward_control	http://dbpedia.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feed-forward_controllers	http://dbpedia.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feed-forward_network	http://www.wikidata.org/entity/Q5441227
https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	http://www.wikidata.org/entity/Q5441227
https://cso.kmi.open.ac.uk/topics/feedforward_control	http://www.wikidata.org/entity/Q5441227
https://cso.kmi.open.ac.uk/topics/feed-forward_controllers	http://www.wikidata.org/entity/Q5441227
https://cso.kmi.open.ac.uk/topics/feed-forward_network	http://rdf.freebase.com/ns/m.05pyht
https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	http://rdf.freebase.com/ns/m.05pyht
https://cso.kmi.open.ac.uk/topics/feedforward_control	http://rdf.freebase.com/ns/m.05pyht
https://cso.kmi.open.ac.uk/topics/feed-forward_controllers	http://rdf.freebase.com/ns/m.05pyht
https://cso.kmi.open.ac.uk/topics/feed-forward_network	http://yago-knowledge.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	http://yago-knowledge.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feedforward_control	http://yago-knowledge.org/resource/Feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feed-forward_controllers	http://yago-knowledge.org/resource/Feedforward_neural_network
